protein_node_id,gnn_score
protein:RET,0.2689859
protein:DDR1,0.73103905
protein:NTRK3,0.7310389
protein:FLT3,0.26898253
protein:JAK1,0.73103946
protein:JAK2,0.73105514
protein:NTRK1,0.73103744
protein:KDR,0.73103815
protein:PDGFRB,0.7310398
protein:FGFR1,0.2689479
protein:FGFR2,0.7310393
protein:CYP3A4,0.26897654
protein:CYP3A5,0.26897323
protein:CYP2D6,0.26897287
protein:CYP1A2,0.26897207
protein:CYP2C8,0.26896995
protein:CYP2C9,0.26896954
protein:ABCB1,0.2689731
protein:ABCG2,0.26897207
protein:SLCO1B1,0.26897338
protein:SLCO1B3,0.26897323
protein:SLC22A6,0.2689751
protein:SLC47A1,0.26897138
protein:SLC47A2,0.26897088
protein:ABCB11,0.26896927
